Population Share,Free Market,Welfare Society,Egalitarian Utopia
0.349,0.006711236024433244,0.10055548981350075,0.22184252876379496
0.35,0.006730711209236393,0.10100824937846513,0.2226339190364357
0.351,0.0067501911494783195,0.10146107836467455,0.22342582328410746
0.352,0.0067696719581205,0.10191560403412683,0.22421804110496119
0.353,0.006789155007461021,0.10237276355028277,0.22501061639870493
0.354,0.006808638084415211,0.1028323229362627,0.22580382151465617
0.355,0.006828124573221565,0.10329286997418569,0.22659739109766142
0.356,0.006847611387527807,0.10375565714752126,0.2273914480861795
0.357,0.006867098313656425,0.10422032864304379,0.22818607537773478
0.358,0.006886585456638237,0.10468509625351988,0.22898192978450901
0.359,0.006906073433178092,0.10515153387926848,0.22977862882505554
0.36,0.006925562979380159,0.1056198618258095,0.23057692985935166
0.361,0.006945054951801475,0.1060910186209392,0.2313754298624141
0.362,0.006964547109526525,0.10656267467708003,0.23217398961048788
0.363,0.006984039917693263,0.1070367612066743,0.23297346742795288
0.364,0.007003537396452624,0.1075126542160227,0.23377301581662804
0.365,0.007023034937486434,0.10798980922112374,0.23457382671579702
0.366,0.007042532646584448,0.10846717797766012,0.23537492424328596
0.367,0.00706203290605231,0.10894770859700403,0.23617622356269116
0.368,0.0070815345676408055,0.1094365773268552,0.23697793968460268
0.369,0.007101045044432243,0.10992588734417294,0.2377797119091716
0.37,0.007120556194284578,0.11041523229746719,0.23858227838842763
0.371,0.007140069480145875,0.11090495366346509,0.23938588189070448
0.372,0.0071595828667541305,0.1113951961712426,0.24018953390262168
0.373,0.007179097940497639,0.11189067507756421,0.24099412694158578
0.374,0.00719861344597864,0.11238748243387578,0.24179907009287177
0.375,0.007218129237806158,0.11288690626215951,0.2426045018517739
0.376,0.007237645919718466,0.11339009904531584,0.24341189543563202
0.377,0.0072571671715855185,0.11389359149755618,0.2442193250103268
0.378,0.007276689830804878,0.11439715838942655,0.24502773697465746
0.379,0.007296212689749133,0.1149014199391742,0.24583721575174924
